year,temp,5%,95%
1134,0,-0.15,0.25
1133,0,-0.16,0.25
1132,-0.01,-0.16,0.25
1131,-0.01,-0.17,0.24
1130,-0.01,-0.17,0.24
1129,-0.01,-0.17,0.24
1128,-0.01,-0.17,0.24
1127,-0.01,-0.17,0.23
1126,-0.01,-0.17,0.23
1125,0,-0.17,0.23
1124,0,-0.17,0.23
1123,0,-0.17,0.23
1122,0,-0.17,0.23
1121,-0.01,-0.17,0.23
1120,-0.01,-0.18,0.23
1119,-0.02,-0.18,0.22
1118,-0.02,-0.19,0.22
1117,-0.03,-0.19,0.21
1116,-0.03,-0.19,0.21
1115,-0.03,-0.19,0.21
1114,-0.03,-0.2,0.21
1113,-0.03,-0.2,0.21
1112,-0.03,-0.2,0.21
1111,-0.02,-0.19,0.21
1110,-0.02,-0.19,0.22
1109,-0.01,-0.18,0.23
1108,0,-0.17,0.24
1107,0.01,-0.16,0.25
1106,0.02,-0.15,0.26
1105,0.03,-0.13,0.28
1104,0.04,-0.12,0.29
1103,0.05,-0.11,0.3
1102,0.06,-0.1,0.3
1101,0.06,-0.1,0.31
1100,0.07,-0.09,0.31
1099,0.07,-0.09,0.31
1098,0.07,-0.09,0.3
1097,0.08,-0.08,0.3
1096,0.08,-0.08,0.3
1095,0.08,-0.07,0.3
1094,0.09,-0.07,0.3
1093,0.1,-0.06,0.3
1092,0.11,-0.05,0.3
1091,0.12,-0.04,0.31
1090,0.13,-0.03,0.32
1089,0.14,-0.02,0.33
1088,0.16,0,0.34
1087,0.18,0.01,0.36
1086,0.19,0.02,0.38
1085,0.2,0.03,0.39
1084,0.21,0.03,0.4
1083,0.21,0.03,0.4
1082,0.21,0.03,0.41
1081,0.21,0.03,0.41
1080,0.2,0.02,0.4
1079,0.19,0.02,0.4
1078,0.18,0.01,0.39
1077,0.17,0,0.37
1076,0.16,-0.01,0.36
1075,0.15,-0.02,0.35
1074,0.14,-0.03,0.34
1073,0.13,-0.04,0.33
1072,0.12,-0.05,0.33
1071,0.11,-0.06,0.32
1070,0.1,-0.06,0.31
1069,0.1,-0.07,0.31
1068,0.1,-0.07,0.31
1067,0.1,-0.07,0.31
1066,0.11,-0.07,0.32
1065,0.11,-0.07,0.32
1064,0.11,-0.06,0.33
1063,0.12,-0.06,0.33
1062,0.12,-0.06,0.33
1061,0.13,-0.06,0.33
1060,0.13,-0.06,0.33
1059,0.13,-0.06,0.33
1058,0.13,-0.07,0.32
1057,0.13,-0.07,0.32
1056,0.13,-0.07,0.32
1055,0.13,-0.07,0.32
1054,0.13,-0.07,0.31
1053,0.14,-0.07,0.32
1052,0.15,-0.06,0.32
1051,0.15,-0.06,0.32
1050,0.15,-0.06,0.32
1049,0.16,-0.06,0.32
1048,0.16,-0.07,0.31
1047,0.15,-0.07,0.31
1046,0.15,-0.07,0.31
1045,0.15,-0.08,0.3
1044,0.15,-0.08,0.3
1043,0.15,-0.08,0.31
1042,0.15,-0.08,0.32
1041,0.16,-0.08,0.33
1040,0.16,-0.07,0.34
1039,0.17,-0.07,0.35
1038,0.17,-0.07,0.35
1037,0.18,-0.07,0.36
1036,0.18,-0.06,0.37
1035,0.18,-0.06,0.37
1034,0.18,-0.06,0.37
1033,0.18,-0.05,0.36
1032,0.17,-0.05,0.36
1031,0.17,-0.04,0.36
1030,0.16,-0.04,0.35
1029,0.16,-0.03,0.35
1028,0.16,-0.03,0.34
1027,0.16,-0.03,0.34
1026,0.15,-0.02,0.34
1025,0.15,-0.02,0.34
1024,0.15,-0.02,0.34
1023,0.15,-0.03,0.33
1022,0.15,-0.03,0.33
1021,0.15,-0.03,0.33
1020,0.15,-0.03,0.33
1019,0.15,-0.04,0.33
1018,0.15,-0.04,0.33
1017,0.14,-0.05,0.33
1016,0.14,-0.06,0.33
1015,0.14,-0.06,0.33
1014,0.14,-0.07,0.33
1013,0.14,-0.07,0.33
1012,0.13,-0.08,0.33
1011,0.13,-0.08,0.33
1010,0.13,-0.08,0.33
1009,0.13,-0.08,0.33
1008,0.13,-0.07,0.33
1007,0.13,-0.07,0.33
1006,0.13,-0.07,0.34
1005,0.13,-0.06,0.33
1004,0.13,-0.06,0.33
1003,0.13,-0.06,0.33
1002,0.13,-0.06,0.34
1001,0.14,-0.06,0.34
1000,0.14,-0.05,0.34
999,0.14,-0.05,0.35
998,0.14,-0.04,0.35
997,0.14,-0.04,0.36
996,0.14,-0.03,0.36
995,0.14,-0.03,0.36
994,0.15,-0.03,0.37
993,0.15,-0.03,0.37
992,0.15,-0.02,0.37
991,0.15,-0.02,0.37
990,0.15,-0.02,0.37
989,0.15,-0.02,0.37
988,0.14,-0.02,0.37
987,0.14,-0.02,0.36
986,0.15,-0.01,0.36
985,0.15,-0.01,0.36
984,0.15,-0.01,0.36
983,0.15,-0.02,0.35
982,0.15,-0.02,0.35
981,0.15,-0.02,0.34
980,0.16,-0.02,0.34
979,0.16,-0.03,0.34
978,0.16,-0.03,0.34
977,0.16,-0.03,0.34
976,0.17,-0.03,0.35
975,0.17,-0.03,0.35
974,0.18,-0.03,0.36
973,0.19,-0.03,0.37
972,0.19,-0.02,0.37
971,0.2,-0.02,0.38
970,0.2,-0.01,0.38
969,0.21,-0.01,0.39
968,0.21,0,0.39
967,0.21,0,0.39
966,0.21,-0.01,0.39
965,0.21,-0.01,0.39
964,0.2,-0.01,0.38
963,0.2,-0.02,0.37
962,0.19,-0.03,0.37
961,0.18,-0.03,0.36
960,0.17,-0.04,0.34
959,0.17,-0.05,0.34
958,0.16,-0.05,0.33
957,0.16,-0.06,0.33
956,0.16,-0.06,0.33
955,0.16,-0.06,0.33
954,0.16,-0.05,0.33
953,0.16,-0.05,0.34
952,0.17,-0.05,0.35
951,0.17,-0.04,0.35
950,0.17,-0.03,0.36
949,0.17,-0.03,0.38
948,0.18,-0.02,0.39
947,0.18,-0.02,0.4
946,0.18,-0.01,0.4
945,0.18,-0.01,0.41
944,0.18,-0.01,0.41
943,0.18,-0.02,0.41
942,0.18,-0.02,0.41
941,0.19,-0.02,0.42
940,0.19,-0.02,0.43
939,0.2,-0.01,0.44
938,0.21,0,0.45
937,0.22,0.01,0.46
936,0.23,0.02,0.47
935,0.23,0.03,0.48
934,0.24,0.03,0.49
933,0.24,0.04,0.5
932,0.25,0.04,0.5
931,0.24,0.05,0.5
930,0.24,0.05,0.49
929,0.23,0.05,0.49
928,0.23,0.05,0.48
927,0.22,0.04,0.47
926,0.21,0.03,0.46
925,0.2,0.03,0.44
924,0.19,0.02,0.43
923,0.18,0.01,0.42
922,0.17,0,0.41
921,0.16,-0.01,0.41
920,0.15,-0.02,0.4
919,0.15,-0.02,0.39
918,0.14,-0.03,0.38
917,0.14,-0.03,0.38
916,0.14,-0.04,0.37
915,0.14,-0.04,0.36
914,0.14,-0.04,0.36
913,0.15,-0.05,0.36
912,0.15,-0.05,0.35
911,0.15,-0.05,0.35
910,0.15,-0.06,0.35
909,0.15,-0.06,0.34
908,0.14,-0.07,0.33
907,0.13,-0.07,0.33
906,0.13,-0.08,0.32
905,0.12,-0.09,0.31
904,0.12,-0.09,0.3
903,0.11,-0.1,0.29
902,0.11,-0.1,0.29
901,0.1,-0.09,0.29
900,0.11,-0.08,0.3
899,0.11,-0.07,0.31
898,0.12,-0.06,0.32
897,0.13,-0.04,0.33
896,0.14,-0.02,0.35
895,0.16,-0.01,0.36
894,0.17,0.01,0.38
893,0.18,0.02,0.4
892,0.2,0.03,0.42
891,0.21,0.04,0.43
890,0.21,0.04,0.44
889,0.22,0.04,0.45
888,0.23,0.05,0.45
887,0.24,0.05,0.46
886,0.24,0.05,0.46
885,0.25,0.05,0.46
884,0.26,0.05,0.46
883,0.27,0.05,0.46
882,0.27,0.05,0.46
881,0.27,0.05,0.46
880,0.27,0.05,0.46
879,0.27,0.04,0.45
878,0.26,0.03,0.45
877,0.25,0.03,0.44
876,0.24,0.01,0.42
875,0.22,0,0.41
874,0.21,-0.01,0.4
873,0.19,-0.03,0.38
872,0.18,-0.04,0.37
871,0.17,-0.06,0.35
870,0.15,-0.08,0.33
869,0.14,-0.09,0.32
868,0.12,-0.11,0.31
867,0.11,-0.12,0.3
866,0.1,-0.13,0.29
865,0.08,-0.14,0.29
864,0.07,-0.14,0.29
863,0.06,-0.15,0.28
862,0.06,-0.15,0.28
861,0.05,-0.16,0.29
860,0.05,-0.16,0.29
859,0.05,-0.16,0.29
858,0.05,-0.16,0.3
857,0.05,-0.15,0.3
856,0.06,-0.15,0.31
855,0.07,-0.14,0.32
854,0.07,-0.14,0.32
853,0.09,-0.13,0.33
852,0.1,-0.12,0.34
851,0.11,-0.1,0.35
850,0.12,-0.09,0.36
849,0.13,-0.07,0.37
848,0.14,-0.05,0.38
847,0.15,-0.04,0.39
846,0.16,-0.02,0.39
845,0.17,-0.01,0.4
844,0.18,0,0.4
843,0.18,0.01,0.4
842,0.19,0.01,0.4
841,0.19,0,0.4
840,0.18,0,0.39
839,0.18,-0.01,0.39
838,0.18,-0.01,0.39
837,0.17,-0.02,0.39
836,0.17,-0.02,0.39
835,0.16,-0.02,0.39
834,0.16,-0.03,0.39
833,0.16,-0.03,0.39
832,0.15,-0.03,0.39
831,0.15,-0.03,0.39
830,0.15,-0.03,0.39
829,0.14,-0.03,0.38
828,0.14,-0.04,0.38
827,0.13,-0.04,0.37
826,0.13,-0.05,0.37
825,0.13,-0.05,0.36
824,0.13,-0.06,0.36
823,0.13,-0.06,0.36
822,0.14,-0.06,0.36
821,0.15,-0.05,0.36
820,0.16,-0.05,0.37
819,0.16,-0.05,0.38
818,0.17,-0.04,0.38
817,0.17,-0.04,0.39
816,0.18,-0.04,0.39
815,0.17,-0.04,0.39
814,0.17,-0.05,0.39
813,0.16,-0.05,0.39
812,0.15,-0.06,0.39
811,0.14,-0.06,0.38
810,0.14,-0.07,0.38
809,0.13,-0.08,0.38
808,0.12,-0.08,0.37
807,0.11,-0.09,0.36
806,0.11,-0.09,0.36
805,0.11,-0.1,0.35
804,0.11,-0.1,0.35
803,0.11,-0.1,0.34
802,0.11,-0.1,0.34
801,0.12,-0.1,0.34
800,0.13,-0.09,0.34
799,0.14,-0.09,0.33
798,0.15,-0.08,0.34
797,0.15,-0.08,0.34
796,0.16,-0.08,0.34
795,0.16,-0.08,0.34
794,0.17,-0.08,0.34
793,0.17,-0.08,0.34
792,0.16,-0.08,0.34
791,0.16,-0.08,0.34
790,0.15,-0.08,0.34
789,0.15,-0.08,0.34
788,0.14,-0.08,0.34
787,0.14,-0.08,0.34
786,0.14,-0.07,0.34
785,0.14,-0.07,0.34
784,0.14,-0.06,0.34
783,0.15,-0.05,0.34
782,0.15,-0.05,0.35
781,0.16,-0.04,0.35
780,0.16,-0.04,0.36
779,0.17,-0.04,0.36
778,0.18,-0.04,0.37
777,0.18,-0.03,0.38
776,0.19,-0.03,0.39
775,0.2,-0.02,0.4
774,0.21,-0.02,0.4
773,0.22,-0.01,0.41
772,0.22,0,0.42
771,0.24,0.01,0.43
770,0.25,0.03,0.43
769,0.26,0.04,0.44
768,0.27,0.05,0.45
767,0.28,0.06,0.46
766,0.29,0.07,0.46
765,0.29,0.08,0.46
764,0.29,0.08,0.46
763,0.29,0.08,0.45
762,0.29,0.08,0.45
761,0.28,0.07,0.44
760,0.28,0.07,0.43
759,0.27,0.06,0.43
758,0.27,0.06,0.43
757,0.26,0.05,0.43
756,0.25,0.05,0.43
755,0.24,0.04,0.43
754,0.23,0.03,0.43
753,0.22,0.03,0.43
752,0.21,0.02,0.44
751,0.21,0.02,0.44
750,0.2,0.01,0.45
749,0.2,0.01,0.45
748,0.2,0,0.45
747,0.2,0,0.45
746,0.2,-0.01,0.44
745,0.19,-0.02,0.43
744,0.19,-0.03,0.42
743,0.18,-0.04,0.4
742,0.17,-0.04,0.39
741,0.16,-0.05,0.37
740,0.16,-0.05,0.36
739,0.15,-0.06,0.35
738,0.15,-0.06,0.35
737,0.15,-0.06,0.34
736,0.15,-0.06,0.34
735,0.15,-0.05,0.35
734,0.16,-0.05,0.35
733,0.17,-0.04,0.36
732,0.18,-0.03,0.37
731,0.19,-0.02,0.38
730,0.2,-0.01,0.39
729,0.21,-0.01,0.4
728,0.21,0,0.41
727,0.21,-0.01,0.41
726,0.21,-0.01,0.41
725,0.21,-0.02,0.41
724,0.2,-0.03,0.41
723,0.19,-0.03,0.4
722,0.19,-0.04,0.4
721,0.18,-0.05,0.39
720,0.17,-0.05,0.39
719,0.17,-0.05,0.38
718,0.16,-0.05,0.38
717,0.16,-0.05,0.38
716,0.16,-0.05,0.37
715,0.16,-0.04,0.37
714,0.16,-0.03,0.38
713,0.17,-0.03,0.38
712,0.18,-0.02,0.39
711,0.19,-0.01,0.4
710,0.2,0,0.4
709,0.21,0,0.41
708,0.21,0,0.41
707,0.22,0,0.4
706,0.22,-0.01,0.4
705,0.21,-0.02,0.39
704,0.2,-0.04,0.38
703,0.19,-0.06,0.37
702,0.17,-0.07,0.35
701,0.15,-0.1,0.34
700,0.13,-0.12,0.32
699,0.11,-0.14,0.31
698,0.08,-0.16,0.3
697,0.06,-0.19,0.28
696,0.03,-0.2,0.28
695,0.01,-0.22,0.27
694,0,-0.24,0.26
693,-0.02,-0.25,0.26
692,-0.02,-0.26,0.26
691,-0.02,-0.26,0.27
690,-0.01,-0.25,0.27
689,0,-0.24,0.28
688,0.02,-0.23,0.28
687,0.04,-0.21,0.3
686,0.07,-0.2,0.31
685,0.1,-0.18,0.33
684,0.12,-0.16,0.34
683,0.15,-0.14,0.36
682,0.18,-0.12,0.38
681,0.2,-0.1,0.41
680,0.22,-0.08,0.43
679,0.24,-0.06,0.46
678,0.26,-0.04,0.48
677,0.27,-0.03,0.5
676,0.27,-0.01,0.51
675,0.28,0,0.53
674,0.28,0.01,0.54
673,0.27,0.02,0.55
672,0.26,0.02,0.56
671,0.25,0.02,0.56
670,0.23,0.02,0.55
669,0.22,0.01,0.53
668,0.2,0,0.51
667,0.19,-0.02,0.49
666,0.18,-0.03,0.47
665,0.16,-0.04,0.45
664,0.16,-0.05,0.43
663,0.15,-0.06,0.42
662,0.15,-0.06,0.4
661,0.15,-0.07,0.4
660,0.16,-0.06,0.39
659,0.16,-0.06,0.39
658,0.17,-0.05,0.39
657,0.17,-0.05,0.39
656,0.17,-0.05,0.4
655,0.17,-0.05,0.39
654,0.17,-0.06,0.39
653,0.16,-0.06,0.38
652,0.15,-0.08,0.36
651,0.13,-0.09,0.35
650,0.12,-0.11,0.33
649,0.11,-0.12,0.32
648,0.1,-0.13,0.31
647,0.09,-0.14,0.3
646,0.08,-0.14,0.3
645,0.08,-0.13,0.3
644,0.08,-0.13,0.3
643,0.08,-0.11,0.3
642,0.09,-0.1,0.31
641,0.09,-0.09,0.31
640,0.1,-0.08,0.32
639,0.1,-0.07,0.32
638,0.11,-0.06,0.33
637,0.11,-0.06,0.33
636,0.12,-0.06,0.33
635,0.12,-0.06,0.34
634,0.13,-0.06,0.34
633,0.13,-0.06,0.34
632,0.13,-0.07,0.34
631,0.13,-0.07,0.34
630,0.14,-0.07,0.34
629,0.14,-0.07,0.34
628,0.14,-0.07,0.35
627,0.14,-0.07,0.35
626,0.15,-0.06,0.36
625,0.15,-0.06,0.36
624,0.16,-0.05,0.37
623,0.17,-0.04,0.38
622,0.18,-0.04,0.38
621,0.19,-0.03,0.39
620,0.19,-0.04,0.4
619,0.2,-0.04,0.4
618,0.2,-0.04,0.41
617,0.2,-0.05,0.41
616,0.2,-0.06,0.41
615,0.19,-0.07,0.41
614,0.19,-0.07,0.42
613,0.18,-0.08,0.43
612,0.18,-0.09,0.44
611,0.17,-0.09,0.45
610,0.17,-0.08,0.46
609,0.17,-0.08,0.47
608,0.18,-0.07,0.48
607,0.18,-0.06,0.49
606,0.19,-0.04,0.5
605,0.2,-0.03,0.51
604,0.2,-0.01,0.52
603,0.21,0,0.52
602,0.21,0.01,0.52
601,0.22,0.02,0.51
600,0.22,0.03,0.51
599,0.23,0.04,0.5
598,0.23,0.05,0.49
597,0.24,0.06,0.49
596,0.24,0.07,0.49
595,0.25,0.07,0.49
594,0.25,0.08,0.49
593,0.26,0.08,0.48
592,0.25,0.08,0.48
591,0.25,0.08,0.47
590,0.24,0.07,0.46
589,0.23,0.06,0.45
588,0.22,0.05,0.44
587,0.2,0.03,0.43
586,0.19,0.02,0.42
585,0.18,0,0.41
584,0.17,-0.01,0.39
583,0.16,-0.03,0.39
582,0.15,-0.04,0.38
581,0.14,-0.06,0.37
580,0.14,-0.07,0.37
579,0.14,-0.07,0.37
578,0.14,-0.08,0.37
577,0.14,-0.08,0.36
576,0.15,-0.08,0.37
575,0.16,-0.07,0.37
574,0.17,-0.07,0.38
573,0.17,-0.06,0.39
572,0.18,-0.05,0.4
571,0.19,-0.04,0.4
570,0.19,-0.04,0.41
569,0.2,-0.04,0.41
568,0.2,-0.04,0.41
567,0.19,-0.04,0.4
566,0.19,-0.04,0.39
565,0.19,-0.05,0.39
564,0.18,-0.05,0.38
563,0.17,-0.06,0.37
562,0.17,-0.07,0.36
561,0.16,-0.07,0.36
560,0.15,-0.07,0.35
559,0.15,-0.08,0.35
558,0.14,-0.09,0.35
557,0.13,-0.1,0.34
556,0.12,-0.12,0.34
555,0.11,-0.14,0.33
554,0.09,-0.16,0.33
553,0.07,-0.18,0.32
552,0.06,-0.2,0.32
551,0.04,-0.22,0.31
550,0.03,-0.25,0.3
549,0.01,-0.27,0.29
548,0,-0.29,0.29
547,0,-0.3,0.28
546,-0.01,-0.31,0.27
545,-0.01,-0.32,0.27
544,-0.01,-0.32,0.27
543,0,-0.31,0.27
542,0.01,-0.3,0.27
541,0.02,-0.28,0.27
540,0.03,-0.26,0.27
539,0.05,-0.24,0.28
538,0.07,-0.22,0.29
537,0.08,-0.2,0.3
536,0.1,-0.18,0.31
535,0.12,-0.16,0.32
534,0.13,-0.14,0.33
533,0.15,-0.12,0.34
532,0.16,-0.11,0.35
531,0.17,-0.1,0.35
530,0.18,-0.09,0.36
529,0.18,-0.08,0.37
528,0.19,-0.07,0.38
527,0.19,-0.07,0.39
526,0.2,-0.06,0.39
525,0.2,-0.05,0.4
524,0.21,-0.05,0.41
523,0.21,-0.04,0.42
522,0.21,-0.04,0.42
521,0.21,-0.04,0.43
520,0.21,-0.04,0.43
519,0.21,-0.03,0.43
518,0.2,-0.03,0.43
517,0.2,-0.03,0.42
516,0.19,-0.04,0.41
515,0.19,-0.05,0.4
514,0.18,-0.05,0.39
513,0.17,-0.06,0.38
512,0.17,-0.07,0.36
511,0.16,-0.07,0.35
510,0.16,-0.08,0.34
509,0.16,-0.08,0.34
508,0.17,-0.08,0.34
507,0.17,-0.08,0.35
506,0.18,-0.07,0.35
505,0.19,-0.07,0.36
504,0.2,-0.06,0.37
503,0.21,-0.05,0.38
502,0.22,-0.05,0.4
501,0.23,-0.04,0.41
500,0.23,-0.04,0.42
499,0.24,-0.03,0.43
498,0.25,-0.03,0.44
497,0.25,-0.02,0.45
496,0.25,-0.02,0.45
495,0.25,-0.02,0.45
494,0.25,-0.02,0.46
493,0.25,-0.02,0.46
492,0.25,-0.03,0.46
491,0.25,-0.03,0.46
490,0.24,-0.03,0.47
489,0.24,-0.03,0.47
488,0.23,-0.03,0.47
487,0.23,-0.03,0.48
486,0.22,-0.03,0.48
485,0.21,-0.03,0.48
484,0.21,-0.03,0.49
483,0.21,-0.03,0.49
482,0.2,-0.03,0.48
481,0.19,-0.03,0.48
480,0.18,-0.03,0.47
479,0.17,-0.04,0.46
478,0.16,-0.05,0.44
477,0.15,-0.06,0.42
476,0.14,-0.08,0.41
475,0.13,-0.09,0.38
474,0.12,-0.11,0.37
473,0.11,-0.11,0.35
472,0.1,-0.12,0.35
471,0.1,-0.12,0.35
470,0.1,-0.12,0.35
469,0.1,-0.12,0.35
468,0.11,-0.11,0.36
467,0.11,-0.1,0.37
466,0.12,-0.09,0.38
465,0.13,-0.08,0.39
464,0.14,-0.08,0.4
463,0.15,-0.07,0.41
462,0.15,-0.06,0.42
461,0.17,-0.06,0.43
460,0.18,-0.05,0.44
459,0.19,-0.04,0.45
458,0.19,-0.03,0.46
457,0.2,-0.02,0.47
456,0.21,-0.02,0.48
455,0.21,-0.01,0.48
454,0.21,-0.01,0.48
453,0.21,0,0.48
452,0.21,0,0.47
451,0.2,0,0.46
450,0.2,0,0.46
449,0.2,0,0.46
448,0.21,0,0.46
447,0.21,0,0.46
446,0.22,0.01,0.46
445,0.22,0.02,0.47
444,0.23,0.02,0.48
443,0.24,0.02,0.48
442,0.24,0.02,0.48
441,0.24,0.02,0.47
440,0.24,0.02,0.47
439,0.24,0.01,0.46
438,0.24,0.02,0.46
437,0.24,0.02,0.46
436,0.23,0.02,0.45
435,0.23,0.02,0.45
434,0.23,0.02,0.45
433,0.23,0.02,0.45
432,0.22,0.02,0.45
431,0.22,0.02,0.45
430,0.21,0.01,0.45
429,0.21,0.01,0.44
428,0.2,0,0.44
427,0.19,0,0.44
426,0.19,-0.01,0.44
425,0.18,-0.01,0.44
424,0.18,-0.01,0.44
423,0.18,-0.01,0.44
422,0.18,-0.01,0.44
421,0.18,-0.01,0.44
420,0.18,-0.01,0.44
419,0.18,-0.01,0.44
418,0.19,0,0.44
417,0.19,0,0.45
416,0.2,0.01,0.45
415,0.2,0.01,0.46
414,0.21,0.02,0.46
413,0.21,0.02,0.47
412,0.22,0.02,0.47
411,0.23,0.03,0.48
410,0.24,0.03,0.48
409,0.25,0.03,0.48
408,0.26,0.03,0.48
407,0.27,0.03,0.48
406,0.27,0.02,0.47
405,0.26,0.01,0.47
404,0.25,0,0.46
403,0.24,-0.01,0.44
402,0.22,-0.03,0.43
401,0.2,-0.04,0.41
400,0.18,-0.06,0.4
399,0.16,-0.07,0.38
398,0.14,-0.09,0.37
397,0.13,-0.1,0.36
396,0.11,-0.11,0.35
395,0.1,-0.12,0.34
394,0.09,-0.13,0.34
393,0.08,-0.13,0.33
392,0.08,-0.13,0.33
391,0.08,-0.13,0.34
390,0.09,-0.12,0.35
389,0.1,-0.11,0.36
388,0.11,-0.1,0.37
387,0.12,-0.1,0.39
386,0.13,-0.09,0.41
385,0.14,-0.08,0.42
384,0.15,-0.08,0.43
383,0.16,-0.08,0.44
382,0.16,-0.08,0.44
381,0.17,-0.09,0.44
380,0.16,-0.09,0.43
379,0.16,-0.1,0.43
378,0.16,-0.11,0.42
377,0.15,-0.12,0.42
376,0.14,-0.13,0.41
375,0.13,-0.14,0.4
374,0.13,-0.15,0.39
373,0.12,-0.15,0.39
372,0.12,-0.16,0.39
371,0.11,-0.16,0.38
370,0.11,-0.16,0.38
369,0.12,-0.15,0.38
368,0.12,-0.15,0.39
367,0.12,-0.14,0.39
366,0.12,-0.14,0.39
365,0.13,-0.13,0.39
364,0.13,-0.13,0.39
363,0.13,-0.12,0.39
362,0.13,-0.12,0.39
361,0.13,-0.11,0.38
360,0.13,-0.11,0.38
359,0.13,-0.11,0.38
358,0.12,-0.11,0.38
357,0.12,-0.11,0.37
356,0.13,-0.12,0.37
355,0.13,-0.12,0.36
354,0.13,-0.12,0.36
353,0.14,-0.12,0.36
352,0.15,-0.12,0.36
351,0.15,-0.12,0.36
350,0.16,-0.12,0.36
349,0.17,-0.12,0.36
348,0.17,-0.11,0.36
347,0.17,-0.12,0.36
346,0.17,-0.12,0.36
345,0.17,-0.12,0.36
344,0.17,-0.11,0.36
343,0.16,-0.12,0.35
342,0.16,-0.12,0.35
341,0.15,-0.12,0.34
340,0.15,-0.12,0.34
339,0.14,-0.12,0.34
338,0.13,-0.12,0.34
337,0.13,-0.11,0.34
336,0.12,-0.11,0.34
335,0.12,-0.1,0.35
334,0.12,-0.09,0.35
333,0.12,-0.09,0.36
332,0.13,-0.08,0.36
331,0.13,-0.08,0.36
330,0.13,-0.08,0.37
329,0.14,-0.08,0.37
328,0.14,-0.07,0.37
327,0.14,-0.07,0.37
326,0.15,-0.06,0.38
325,0.15,-0.06,0.38
324,0.16,-0.06,0.38
323,0.16,-0.06,0.39
322,0.17,-0.05,0.39
321,0.17,-0.05,0.4
320,0.18,-0.04,0.4
319,0.18,-0.03,0.4
318,0.19,-0.02,0.41
317,0.2,-0.01,0.42
316,0.21,0.01,0.43
315,0.22,0.01,0.44
314,0.23,0.02,0.45
313,0.24,0.02,0.45
312,0.25,0.03,0.46
311,0.26,0.03,0.46
310,0.26,0.03,0.47
309,0.27,0.03,0.47
308,0.27,0.03,0.48
307,0.28,0.03,0.48
306,0.28,0.03,0.48
305,0.28,0.03,0.48
304,0.28,0.02,0.48
303,0.27,0.02,0.47
302,0.27,0.01,0.47
301,0.26,0.01,0.46
300,0.25,0,0.45
299,0.24,-0.01,0.43
298,0.23,-0.02,0.42
297,0.22,-0.02,0.41
296,0.21,-0.03,0.4
295,0.2,-0.04,0.4
294,0.19,-0.04,0.39
293,0.18,-0.05,0.39
292,0.18,-0.05,0.39
291,0.18,-0.05,0.39
290,0.18,-0.05,0.39
289,0.19,-0.04,0.4
288,0.19,-0.04,0.4
287,0.2,-0.04,0.41
286,0.2,-0.03,0.41
285,0.21,-0.02,0.41
284,0.21,-0.02,0.41
283,0.22,-0.02,0.41
282,0.22,-0.03,0.41
281,0.22,-0.04,0.4
280,0.22,-0.05,0.39
279,0.21,-0.06,0.38
278,0.2,-0.07,0.37
277,0.19,-0.09,0.37
276,0.18,-0.1,0.37
275,0.17,-0.12,0.37
274,0.16,-0.12,0.37
273,0.15,-0.13,0.38
272,0.14,-0.13,0.38
271,0.13,-0.13,0.39
270,0.13,-0.13,0.39
269,0.13,-0.12,0.4
268,0.12,-0.11,0.4
267,0.13,-0.11,0.4
266,0.13,-0.1,0.4
265,0.13,-0.1,0.39
264,0.13,-0.1,0.39
263,0.13,-0.09,0.38
262,0.13,-0.09,0.38
261,0.13,-0.09,0.37
260,0.14,-0.08,0.37
259,0.14,-0.08,0.37
258,0.15,-0.07,0.38
257,0.17,-0.06,0.39
256,0.18,-0.05,0.4
255,0.19,-0.03,0.41
254,0.21,-0.01,0.43
253,0.22,0.01,0.45
252,0.24,0.03,0.47
251,0.25,0.05,0.49
250,0.27,0.06,0.5
249,0.28,0.08,0.52
248,0.29,0.09,0.53
247,0.3,0.1,0.54
246,0.31,0.1,0.54
245,0.31,0.11,0.54
244,0.31,0.11,0.53
243,0.3,0.1,0.53
242,0.29,0.09,0.52
241,0.28,0.08,0.51
240,0.27,0.07,0.5
239,0.25,0.06,0.49
238,0.24,0.05,0.48
237,0.22,0.03,0.47
236,0.21,0.01,0.46
235,0.2,0,0.45
234,0.18,-0.02,0.44
233,0.17,-0.03,0.44
232,0.17,-0.04,0.44
231,0.16,-0.04,0.43
230,0.16,-0.05,0.43
229,0.16,-0.05,0.43
228,0.16,-0.05,0.43
227,0.15,-0.05,0.43
226,0.15,-0.04,0.43
225,0.15,-0.04,0.43
224,0.15,-0.05,0.43
223,0.15,-0.05,0.43
222,0.14,-0.05,0.43
221,0.14,-0.06,0.43
220,0.14,-0.06,0.43
219,0.14,-0.06,0.43
218,0.14,-0.06,0.43
217,0.14,-0.06,0.42
216,0.14,-0.06,0.42
215,0.15,-0.05,0.42
214,0.16,-0.04,0.43
213,0.16,-0.04,0.43
212,0.17,-0.03,0.43
211,0.17,-0.02,0.44
210,0.18,-0.02,0.44
209,0.18,-0.02,0.44
208,0.18,-0.02,0.43
207,0.18,-0.02,0.43
206,0.17,-0.02,0.42
205,0.16,-0.03,0.41
204,0.15,-0.03,0.4
203,0.15,-0.04,0.39
202,0.14,-0.04,0.38
201,0.14,-0.04,0.38
200,0.14,-0.04,0.38
199,0.15,-0.04,0.38
198,0.15,-0.03,0.38
197,0.16,-0.03,0.38
196,0.17,-0.03,0.38
195,0.17,-0.03,0.38
194,0.17,-0.03,0.38
